Gene,"Maximum likelihood (kon, koff, ksyn)","Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval)","Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval)",Mean expression
Reps2,[4.16315396e-02 3.48362175e+01 4.87147688e+01],[0.04163154 0.02027478 0.10286963],[1.39839432 0.50025608 4.36569505],0.06
Ribc1,[0.03290827 1.32512338 3.68487238],[0.00164541        nan        nan],[2.78077683        nan        nan],0.09
Rlim,[  2.01413717 190.70610709 436.6015274 ],[2.31625775 1.80906819 2.73058625],[2.08334907 1.68860594 2.60397692],4.56
Rnf128,[0.09998919 1.78351017 9.38451913],[0.09998919 0.0597898  0.1574566 ],[5.26182542 3.04296988 9.62247415],0.5
Rp2h,[0.98683034 1.5350367  5.29931992],[0.98683034 0.56881372 1.84115933],[3.45224314 1.28542833 7.98523561],2.07
Rpgr,[0.12189733 3.06398452 6.61034835],[0.12189733 0.06099899 0.22102291],[2.1574353  1.04546992 4.76088915],0.25
Rpl10,[  0.4640246   77.51213624 228.68060248],[0.4640246  0.35222059 0.6159098 ],[2.95025545 2.11760982 4.18746726],1.36
Rps6ka3,[ 0.30337014  2.09794575 11.8345566 ],[0.30337014 0.20966534 0.43064762],[5.81025191 3.52014213 9.1601385 ],1.5
Sat1,[  1.69141494 208.8969886  473.13496747],[1.69141494 1.40618314 2.08148424],[2.26492    1.83933886 2.79960321],3.8
Sh3bgrl,[   2.09675605  487.8686659  1833.1154765 ],[2.09675605 1.76673026 2.43934788],[3.75739539 3.1921378  4.5559712 ],7.84
Sh3kbp1,[   2.43114829  426.41730324 2094.01698443],[2.43114829 2.07689076 2.8729993 ],[4.91072236 4.11811165 5.82582144],11.87
Shroom2,[0.0536052  2.05636966 5.7366053 ],[0.0536052  0.01328549 0.11314723],[2.78967611        nan        nan],0.15
Siah1b,[ 0.28972844 50.70764689 83.6386419 ],[0.30421487 0.20759117 0.42001459],[1.64942858 1.08418287 2.49867104],0.48
Slc10a3,[ 0.64129079 44.11477156 70.53862725],[0.64129079 0.70889978 0.88869995],[1.59897977 1.11026339 2.24556933],1.01
Slc25a14,[0.16562075 0.33433325 2.24757742],[0.00828104        nan        nan],[6.72256621        nan        nan],0.74
Slc35a2,[  2.03615798 113.61299572 249.14488903],[2.03615798 1.45486809 2.56447299],[2.19292597 1.69560162 2.7502924 ],4.39
Slc6a8,[  1.34444138 152.71085801 500.04991049],[1.34444138 1.11162678 1.63380373],[3.27448825 2.64036795 4.09256281],4.36
Slc7a3,[0.05371528 2.04112534 3.69624941],[0.00268576        nan        nan],[1.81088802        nan        nan],0.09
Slc9a6,[0.10730549 0.34145761 2.49064461],[0.00536527        nan        nan],[7.29415464        nan        nan],0.6
Smc1a,[ 0.93456111  3.27518427 28.79787826],[0.93456111 0.7337459  1.19121255],[ 8.79275053  6.06536451 12.66370359],6.39
Sms,[ 0.12239372 24.89509145 30.8881891 ],[0.12239372 0.06755473 0.2396345 ],[1.24073411 0.57824449 2.6705634 ],0.15
Snx12,[ 2.40007966 48.608862   85.34112888],[2.04006771 1.28289181 3.16546911],[2.44038153 1.27265045 5.16938381],4.02
Srpx,[1.75772262e-01 4.98336771e+01 2.85575070e+02],[0.17577226 0.13475234 0.2223632 ],[5.73056387 4.16174554 8.32614076],1.0
Srpx2,[  0.45410306  22.4367129  185.88256495],[0.4313979  0.35216107 0.53388721],[ 8.28475035  6.62548179 10.51090796],3.69
Stard8,[ 0.11485311 20.33574356 48.21164855],[0.00574266        nan        nan],[2.37078366 1.43716205 4.15091031],0.27
Suv39h1,[ 0.23487238  1.1298484  14.47364135],[0.23487238 0.17714316 0.30745207],[12.81025081  9.01110324 18.39502734],2.49
Syap1,[   2.1998479   713.41598093 1430.9981815 ],[2.1998479  1.74860826 2.68339819],[2.06601501 1.63104366 2.56855946],4.4
Sytl4,[0.1273142  0.700384   1.75611747],[0.00636571        nan        nan],[2.50736378        nan        nan],0.27
Tab3,[ 0.11875449 30.11586581 56.25910461],[0.11875449 0.07765717 0.19005662],[1.86808857 1.06093902 3.36142247],0.22
Taf1,[ 0.26095987  2.5131476  17.77008927],[0.26095987 0.18698483 0.36773129],[ 7.07084981  4.48685443 10.88028345],1.67
Taf9b,[ 0.41704757  1.02603714 11.54238571],[0.41704757 0.29851946 0.57302027],[11.24948138  7.26278843 17.73342099],3.34
Taz,[0.49350492 2.28647737 6.05476343],[0.49350492 0.27493432 0.85588695],[2.64807495 1.25981481 5.84881308],1.07
Tbl1x,[0.73424619 1.5897147  9.38945091],[0.73424619 0.45522315 1.13051257],[ 5.90637486  3.06545752 12.13703182],2.97
Tceal8,[   2.33669856  236.24036933 2159.35550102],[2.33669856        nan        nan],[ 9.14050171  7.82364563 10.69884174],21.15
Timp1,[2.46890359e+00 1.79634503e+02 6.63660749e+03],[2.46890359        nan        nan],[36.94506002 32.22910552 39.95028733],89.98
Tmem164,[  0.76423176  60.08785154 106.64450905],[0.76423176 0.59176137 1.0108845 ],[1.77480982 1.29194206 2.38421831],1.34
Tmem47,[ 1.0065276   3.25838433 12.23351132],[1.0065276  0.7055729  1.49195238],[3.75447156 2.00665416 6.4583078 ],2.89
Tmsb15b2,[  0.23366054  48.6850082  134.5023797 ],[0.23366054 0.17808864 0.31294947],[2.76270632 1.92713188 4.01356509],0.64
Tnmd,[ 0.05428667  2.15348971 31.81719409],[0.057001   0.03921355 0.07965503],[14.33147236  8.57894184 23.67689719],0.78
Trmt2b,[0.04432252 0.9013762  3.79177843],[0.00221613        nan        nan],[4.20665472        nan        nan],0.18
Tro,[2.73713959e-02 3.04813524e+01 4.15543818e+01],[0.0273714  0.01040496 0.08747749],[1.36327224        nan        nan],0.04
Tsc22d3,[  0.47462125  60.12604541 110.14698257],[0.47462125 0.34929682 0.65120196],[1.83193459 1.27993585 2.6541925 ],0.86
Tspan7,[ 0.26672369  5.50372326 35.90337605],[0.28005988 0.21645485 0.35718843],[5.74065399 4.46393752 8.66043718],1.66
Tspyl2,[ 0.82690836  5.24999816 14.73442354],[0.82690836 0.58426923 1.21576204],[2.80655785 1.68200926 4.66266633],2.0
Tsr2,[0.40842133 0.89741321 5.7799389 ],[0.40842133 0.24783267 0.62187578],[ 6.4406662   3.57730468 12.66008795],1.81
Txlng,[0.05964007 0.79399753 3.13448587],[4.16333634e-17            nan            nan],[3.94772749        nan        nan],0.22
Uba1,[2.68747247e+00 9.96638119e+02 7.79092465e+03],[2.68747247 2.31491705 3.10500085],[7.58268901        nan        nan],20.95
Ubqln2,[  1.69287974 103.70435181 155.32637877],[1.69287974 0.93727999 2.24099044],[1.49778072 1.098408   1.96930486],2.49
Uprt,[ 0.14243297 29.6976765  48.9743618 ],[0.14243297 0.09163882 0.22917873],[1.64909742 0.94772199 2.93984461],0.23
Usp27x,[ 0.05550608 15.37581374 45.98891799],[0.05550608 0.03326172 0.09397761],[2.99099084 1.55155081 6.35877019],0.17
Usp9x,[  0.97932346  54.82047273 193.12028473],[0.97932346 0.75361706 1.20395891],[3.52277671 2.78341449 4.41733651],3.39
Utp14a,[  0.99173612 174.70502368 258.09143217],[0.99173612 0.75333635 1.26412006],[1.52161724 1.13875227 2.0203198 ],1.46
Vbp1,[  2.33634479  48.81195175 117.31209023],[2.45316203 1.7981362  2.99879793],[2.2591468  1.78929741 2.95177427],5.36
Vma21,[ 0.56614634  2.87409828 24.92733778],[0.56614634 0.38508713 0.83082405],[ 8.67309861  5.15603936 14.76657156],4.1
Wbp5,[1.66620683e+00 2.77538277e+02 3.96435428e+03],[1.66620683        nan        nan],[14.28399111 12.13351004 16.51762135],23.66
Wdr13,[ 0.88350249 11.38174477 29.31940858],[0.88350249 0.62564026 1.21348353],[2.57600299 1.72118223 4.2966662 ],2.11
Wdr45,[ 0.91068754  3.91042385 11.99715682],[0.91068754 0.63195897 1.39622252],[2.97595416 1.62624525 5.30914882],2.27
Xiap,[ 0.74466306 13.37450853 19.54461284],[0.78189622 0.43276108 1.1606869 ],[1.41749317 0.87917497 3.15575851],1.03
Yipf6,[9.56653027e-01 5.10479447e+02 1.09753915e+03],[0.95665303 0.78483204 1.21472278],[2.15001634 1.63453858 2.75256602],2.05
Yy2,[0.05321713 3.69953648 4.23109165],[0.00266086        nan        nan],[1.00643977        nan        nan],0.06
Zc3h12b,[1.82557373e-02 3.39391939e+01 5.97479704e+01],[0.01825574 0.00823187 0.0603029 ],[1.76044165        nan        nan],0.03
Zc4h2,[2.28087186e-01 1.38328351e+02 2.59652060e+02],[0.22808719 0.17399578 0.32844065],[1.87707045 1.22404742 2.93048174],0.43
Zdhhc9,[ 1.22889964  8.94628268 24.87656421],[1.16745466 0.84584394 1.73828535],[2.94749887 1.7475984  4.97515491],3.0
Zfp182,[ 0.3131896   8.83031225 13.70012337],[0.3131896  0.16868788 0.49701968],[1.55148799 0.92112973 3.35811618],0.47
Zfp275,[ 0.03491232  2.30243554 10.94372953],[0.03491232 0.01188529 0.08828705],[ 4.75311007  1.48167005 17.35959164],0.16
Zfp449,[0.11741683 0.91563398 3.65997944],[0.11741683 0.04142955 0.22183387],[ 3.99720798  1.87233837 12.57912454],0.42
Zfx,[0.09751948 0.18399809 3.40310026],[0.00487597        nan        nan],[18.49530243         nan         nan],1.18
Zmat1,[ 0.20975855 30.44705865 62.52883006],[0.22024648 0.15264916 0.3124865 ],[1.99207962 1.30557203 3.10949429],0.43
Zmym3,[0.19980876 1.60260921 6.80073746],[0.19980876 0.11772708 0.32162279],[4.24354072 2.33849173 8.08646077],0.75
Zrsr2,[1.38213795e+00 6.59241990e+02 2.11960546e+03],[1.31303105 1.07122452 1.55653673],[3.50458556 2.84697726 4.36728884],4.43
Zxda,[0.14820663 7.36577482 9.17911574],[0.16302729 0.09431931 0.28523813],[1.13402806 0.60317783 2.17791563],0.18
Zxdb,[ 0.16457417 28.99305335 33.549091  ],[0.17280288 0.10405682 0.29244776],[1.12242812 0.5675187  2.10803878],0.19
