Gene,"Maximum likelihood (kon, koff, ksyn)","Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval)","Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval)",Mean expression
0610007P14Rik,[  1.2915914  356.01218176 502.19203139],[1.2915914  0.9911122  1.71569515],[1.4106035  1.04101333 1.89326833],1.82
0610009B22Rik,[0.62893763 1.26663669 9.19825056],[0.62893763 0.45361296 0.87760908],[ 7.26194861  4.44809397 11.60177839],3.05
0610010F05Rik,[ 0.34582821 21.23792178 21.7077245 ],[0.01729141        nan        nan],[4.05782012        nan        nan],0.35
1110004E09Rik,[0.25737082 0.35585992 5.50127896],[0.25737082 0.15360678 0.40086106],[15.45911381  8.64220101 29.61150992],2.31
1110007C09Rik,[ 0.12548747  1.42390799 10.85534996],[0.12548747 0.08431719 0.18255058],[ 7.62363161  4.72396796 12.41868522],0.88
1110008L16Rik,[0.65948228 1.58767604 8.00533924],[0.65948228 0.44914096 0.97608161],[5.04217426 2.81928821 8.77018067],2.35
1110012L19Rik,[ 1.11856466 73.59383047 95.16063712],[1.11856466 0.86219934 1.53265869],[1.29305183 0.89904841 1.7488933 ],1.42
1110032A03Rik,[0.11258722 1.68525837 1.86936878],[4.16333634e-17            nan            nan],[1.10924759        nan        nan],0.12
1110037F02Rik,[0.71117614 2.04244584 7.19109453],[0.71117614 0.41037384 1.22270919],[3.52082507 1.54614186 7.882525  ],1.86
1110038B12Rik,[  1.99450962 112.05610421 226.08397397],[1.99450962 1.35543485 2.52575388],[2.01759624 1.6019644  2.60608939],3.95
1110038F14Rik,[ 0.83021596 11.76598333 31.49327773],[0.83021596 0.58498606 1.14019889],[2.67663797 1.81211431 4.4742695 ],2.08
1110051M20Rik,[ 0.21580007  7.62897586 27.21839724],[5.55111512e-17            nan            nan],[13.30776549         nan         nan],0.75
1110057K04Rik,[  0.44026527 102.17301691 211.58465022],[0.46227853 0.35123794 0.62615595],[1.94659586 1.40039781 2.78500827],0.91
1110058L19Rik,[0.03355299 0.08479904 2.06385286],[6.9388939e-18           nan           nan],[24.33816201         nan         nan],0.59
1110059E24Rik,[0.39038547 0.37793585 3.08691778],[1.11022302e-16            nan            nan],[8.16783525        nan        nan],1.57
1110059G10Rik,[0.01913311 0.32781139 4.01634088],[0.00095666        nan        nan],[12.25198692         nan         nan],0.22
1190005I06Rik,[0.42570401 3.42750193 5.15991345],[0.42570401 0.16698334 0.80898282],[1.50544436 0.68007032 4.96141715],0.57
1300002E11Rik,[ 0.90026164 16.15373371 24.84033892],[0.90026164 0.55767312 1.31465771],[1.53774597 0.98876983 3.08731813],1.31
1300002K09Rik,[3.03019868e-02 1.25256377e+01 3.91746597e+01],[0.0015151       nan       nan],[3.22138485 1.29801493 9.39070198],0.09
1300017J02Rik,[5.58137301e-03 7.99017592e+00 4.41966999e+01],[0.00027907        nan        nan],[5.69732149        nan        nan],0.03
1500009L16Rik,[0.11169997 0.20297243 2.36009413],[1.38777878e-17            nan            nan],[11.62765881         nan         nan],0.84
1500011B03Rik,[  0.45687165  75.67870419 155.91035199],[0.45687165 0.34430186 0.61218555],[2.06016149 1.47206292 2.91480765],0.94
1500012F01Rik,[1.04317954 1.09707288 9.84432626],[1.04317954 0.74446693 1.49821735],[ 8.97326553  5.05670929 15.05885963],4.8
1500015A07Rik,[0.07607681 1.594179   4.49793613],[0.07607681 0.02232643 0.16202378],[ 2.82147496  1.15407073 10.43490529],0.2
1600012H06Rik,[ 0.1915198 16.8307923 45.3839211],[0.20109578 0.15069648 0.29259183],[2.69648156 1.57581906 4.42251627],0.51
1600014C10Rik,[0.11409673 1.6573349  3.30970361],[0.00570484        nan        nan],[1.99700351        nan        nan],0.21
1600020E01Rik,[0.3192466  0.47674199 3.13863157],[0.3192466  0.10519065 0.6157719 ],[ 6.58350144  2.72754693 25.73897973],1.26
1700001L05Rik,[0.10064075 0.31745734 4.83441773],[0.10064075 0.04964933 0.1697911 ],[15.22855871  8.15057156 33.67302579],1.16
1700017B05Rik,[0.16452865 0.48399483 3.77490474],[0.16452865 0.0615943  0.30067153],[ 7.79947321  3.71415622 24.00540014],0.96
1700020I14Rik,[  0.88775675  62.87873534 126.15291856],[0.88775675 0.60365046 1.18433927],[2.00628906 1.48574907 2.69244085],1.76
1700021F05Rik,[ 0.62409952  1.82881027 10.73217182],[0.62409952 0.46227542 0.85451174],[5.86838995 3.72972783 8.94479981],2.73
1700025G04Rik,[0.16219688 0.49270294 3.14888561],[0.16219688 0.03973194 0.31839742],[6.39104285        nan        nan],0.78
1700028J19Rik,[3.47633312e-02 2.41803854e+01 5.76446482e+01],[0.03476333 0.01489853 0.07432185],[2.45546076 0.97458909 7.47099114],0.08
1700030C10Rik,[1.02060603e-02 3.69387209e+01 1.87329654e+02],[0.01020606 0.00271551 0.02643319],[5.52778541        nan        nan],0.05
1700030J22Rik,[ 0.06115764 15.59615521 16.60383426],[0.00305788        nan        nan],[4.22650462        nan        nan],0.06
1700030K09Rik,[0.16311764 1.55532827 5.62829309],[0.16311764 0.08305198 0.29772466],[3.61871715 1.73512072 7.97227076],0.53
1700037H04Rik,[0.56410314 1.79150803 4.26708405],[0.56410314 0.24612035 1.12533592],[2.38183919 0.90705547 7.35481507],1.02
1700061G19Rik,[  0.71453434 100.85502623 194.19458586],[0.78598777 0.56722859 0.93045994],[1.92548248 1.40350583 2.61898924],1.37
1700086O06Rik,[0.02029598 0.27170564 1.08879588],[1.04083409e-17            nan            nan],[4.96900566        nan        nan],0.08
1700123M08Rik,[8.10351853e-03 1.11982873e+01 2.85031190e+01],[0.00850869 0.00178138 0.03962356],[2.54531056        nan        nan],0.02
1700123O20Rik,[0.61948267 2.8862067  8.3643776 ],[0.61948267 0.38908442 1.00228642],[2.89805218 1.53274249 5.58881239],1.48
1810009A15Rik,[ 1.31601398  2.73491827 35.25270777],[1.31601398 1.05629545 1.66205658],[12.88985785  8.94807545 17.79815264],11.45
1810013L24Rik,[0.96205535 2.67865534 8.40055325],[0.96205535 0.62612672 1.59363108],[3.13610831 1.41646222 5.97802925],2.22
1810014B01Rik,[1.97178391e-02 1.04263845e+01 2.58640201e+01],[1.04083409e-17            nan            nan],[2.55505068        nan        nan],0.05
1810024B03Rik,[ 0.17732592 22.45246153 29.79341521],[5.55111512e-17            nan            nan],[1.32695541 0.72333623 2.48897669],0.23
1810026J23Rik,[ 0.47031496  4.18669159 13.31877442],[0.47031496 0.32792726 0.69658155],[3.18121699 1.93447241 5.17427228],1.35
1810030O07Rik,[ 2.6560695  24.40047643 32.14931783],[2.92167645 1.69176148 4.08296712],[0.92229849        nan        nan],3.16
1810032O08Rik,[0.70964067 2.16315741 3.83172191],[0.70964067 0.276342   1.56714968],[1.77135602 0.60161752 6.59723602],0.95
1810037I17Rik,[  2.56873883  18.82059526 128.04245064],[2.56873883 1.97255884 3.36419073],[ 6.80331567  4.58979651 10.48957249],15.38
1810043G02Rik,[0.2997457  1.13298473 1.32230198],[0.2997457  0.03908981 1.1892451 ],[1.16709603        nan        nan],0.28
1810043H04Rik,[  0.74593891 144.5194381  319.50085302],[0.74593891 0.58456878 0.97833032],[2.14445774 1.61288323 2.91064105],1.64
1810058I24Rik,[0.80183244 0.96489829 9.62467849],[0.80183244 0.58230893 1.10857261],[ 9.97481142  6.14986926 15.96358303],4.37
2010012O05Rik,[  0.3455948  141.41611629 256.94027988],[0.3455948  0.27711829 0.48969121],[1.81690946 1.21679308 2.71885643],0.63
2010107E04Rik,[ 1.70513146  1.76336071 30.94515499],[1.70513146 1.32040736 2.23039923],[17.54896473 11.41598506 25.78916846],15.21
2010107G23Rik,[ 0.18586516  8.64014921 16.35202371],[0.18586516 0.09964668 0.30442901],[1.89256265 1.05997672 4.00597024],0.34
2200002D01Rik,[ 0.08462864  8.09421529 44.27400137],[0.08886007 0.06242798 0.11837843],[5.30573747 3.30803507 9.33138289],0.46
2210013O21Rik,[0.2247262  0.39259543 2.26293878],[0.01123631        nan        nan],[5.76404769        nan        nan],0.82
2210015D19Rik,[0.69881319 4.46120463 5.1635208 ],[0.69881319 0.32911937 1.36370155],[1.15742747 0.5016056  3.26972876],0.7
2210016F16Rik,[ 1.34867409  8.06246772 26.72039518],[1.4161078  0.99369026 1.96871728],[3.11532056 1.93674807 5.2511744 ],3.83
2210016L21Rik,[1.83379197 3.0586263  9.3900361 ],[1.83379197 0.97653996 3.72192431],[3.07001745 1.00307668 9.06780509],3.52
2210018M11Rik,[ 0.1337908   2.7170827  17.22459183],[0.1337908  0.09005847 0.20635952],[ 6.33936974  3.78451857 10.73204597],0.81
2300009A05Rik,[ 0.0811794  23.63754685 33.44902116],[0.00405897        nan        nan],[1.41508006 0.60424526 3.55114483],0.11
2310003H01Rik,[0.12177789 0.91538975 4.47912579],[0.12177789 0.06107621 0.21260017],[ 4.89313517  2.4893616  10.69612941],0.53
2310011J03Rik,[  0.95602645 148.18531037 236.7258642 ],[0.90822513 0.70894237 1.24997267],[1.64542382 1.21366654 2.25401989],1.52
2310022B05Rik,[ 1.21945847  5.9616168  20.22521561],[1.21945847 0.86901014 1.78477566],[3.39257223 1.98411443 5.73163404],3.43
2310030G06Rik,[ 0.25192268  7.29067187 10.62607528],[0.26451882 0.1055003  0.43453654],[1.32631514 0.7673689  4.12933823],0.35
2310033P09Rik,[  0.20563857  49.63236641 179.01558293],[0.20563857 0.13476494 0.3073125 ],[3.71503645 2.19460322 6.5827356 ],0.74
2310039H08Rik,[ 0.47189616  3.83865415 17.65827506],[0.47189616 0.35362635 0.64816511],[4.60012139 3.02347526 6.78515962],1.93
2310040G24Rik,[0.07297501 2.64302519 5.20780204],[0.07297501 0.016129   0.16958991],[1.97039441        nan        nan],0.14
2310057M21Rik,[0.18285941 0.78388475 3.80608867],[0.18285941 0.0908292  0.31663158],[ 4.8554187   2.46222296 10.98946133],0.72
2310061J03Rik,[0.06221551 1.23717967 3.18592617],[6.9388939e-18           nan           nan],[2.57515238        nan        nan],0.15
2410004B18Rik,[0.3782541  2.51492902 7.66448443],[0.3782541  0.23823087 0.6272828 ],[3.04759473 1.56424298 5.5525237 ],1.0
2410004N09Rik,[  1.43161009 156.47329065 352.32620377],[1.43161009 1.15136114 1.80444701],[2.25166993 1.76022646 2.87425157],3.19
2410004P03Rik,[8.75731403e-03 1.08830100e+01 2.68318023e+01],[0.00875731 0.00177281 0.04059091],[2.53944049        nan        nan],0.02
2410006H16Rik,[ 1.37778449  3.52725908 21.43737532],[1.37778449 1.0309639  1.89983187],[6.07762992 3.55907333 9.61148847],6.02
2410015M20Rik,[  2.12400277 263.85131413 962.4801335 ],[2.12400277 1.78613904 2.56963602],[3.64781254 2.95200071 4.404543  ],7.69
2510003E04Rik,[  0.76078362 121.66195334 132.93989831],[0.83686198 0.5617117  1.16824741],[1.02713709 0.68787604 1.52902478],0.83
2510009E07Rik,[ 0.2901896  33.91539639 80.51796361],[0.2901896  0.20925963 0.40962037],[2.37408293 1.59165017 3.61337004],0.68
2510039O18Rik,[0.29885313 2.59812876 5.90208166],[0.29885313 0.17163703 0.53281444],[2.27166634 1.10025192 4.5129169 ],0.61
2610001J05Rik,[  0.96337117  70.45133501 124.61098613],[0.96337117 0.65142781 1.28924909],[1.76875266 1.30941159 2.38010387],1.68
2610002J02Rik,[0.40056616 1.3549438  3.34120678],[1.11022302e-16            nan            nan],[7.64440636        nan        nan],0.76
2610002M06Rik,[2.65302389e-02 1.35000015e+01 3.24702399e+01],[0.00132651        nan        nan],[2.47735878 0.84827783 8.79596313],0.06
2610008E11Rik,[0.00927701 0.43357157 4.11901448],[0.00046385        nan        nan],[9.50019496        nan        nan],0.09
2610015P09Rik,[ 0.5534972  19.01492728 26.41860793],[0.5534972  0.31426033 0.83169289],[1.3893615  0.87126072 2.98373359],0.75
2610018G03Rik,[ 0.03400323 11.00728981 17.29817985],[0.00170016        nan        nan],[3.59878158        nan        nan],0.05
2610035D17Rik,[0.178144   3.28285675 5.16765614],[8.32667268e-17            nan            nan],[1.57413391        nan        nan],0.27
2610301B20Rik,[ 0.21950732 21.52702912 24.69234672],[0.01097537        nan        nan],[4.55374571        nan        nan],0.25
2610306M01Rik,[ 0.0635476  21.51107003 39.506432  ],[0.00317738        nan        nan],[1.83656285 0.82925513 4.52776411],0.12
2610318N02Rik,[0.17921748 0.84356321 4.36786093],[0.17921748 0.08970258 0.30480594],[ 5.17787032  2.6705576  11.65936579],0.77
2610507B11Rik,[ 1.43815909  7.10461543 14.18008676],[1.43815909 0.88934023 2.33508833],[1.99589786 1.04959411 4.28389038],2.39
2610524H06Rik,[0.49153917 1.36211374 6.75158578],[0.49153917 0.34200686 0.71791373],[4.95669752 2.92311298 8.07422312],1.79
2700029M09Rik,[0.55305537 0.73812003 2.6945384 ],[0.55305537 0.11601134 1.36447634],[3.65054233        nan        nan],1.15
2700049A03Rik,[0.81419314 3.13210288 5.62323304],[0.81419314 0.44138754 1.53963486],[1.79535387 0.74767388 4.34824246],1.16
2700081O15Rik,[0.0313729  0.09744454 3.32177451],[2.08166817e-17            nan            nan],[34.08887283         nan         nan],0.81
2700097O09Rik,[ 0.92188884  1.78457547 13.49021399],[0.92188884 0.68744826 1.26227543],[ 7.55934069  4.66619229 11.65687644],4.6
2700099C18Rik,[0.19730654 0.87461433 3.27126463],[0.19730654 0.04650678 0.39871441],[3.74023671        nan        nan],0.6
2810004N23Rik,[0.49252093 0.5361198  8.39065194],[0.49252093 0.36493565 0.65931584],[15.65070322 10.45211556 23.59481166],4.02
2810006K23Rik,[0.07371058 0.31251575 3.44414449],[0.00368553        nan        nan],[11.02070682         nan         nan],0.66
2810008D09Rik,[  1.27298449 116.68843458 151.78415205],[1.33663371 1.00067831 1.78040221],[1.22271846 0.90554232 1.65827717],1.64
2810025M15Rik,[ 1.22758505  6.21445147 23.68688139],[1.22758505 0.90136733 1.7735609 ],[3.8115804  2.29611765 6.12214809],3.91
2810408I11Rik,[0.03763201 0.90514165 5.77953387],[0.03763201 0.01271052 0.07552598],[ 6.38522589  2.79294746 20.1277973 ],0.23
2810408M09Rik,[0.41363567 0.93826879 5.59824351],[0.41363567 0.27092655 0.62404397],[ 5.96656688  3.39749239 10.46567074],1.71
2810417H13Rik,[ 0.22717392  4.92605226 17.79962423],[0.22717392 0.14435913 0.35210194],[3.61336488 2.06276495 6.51845166],0.78
2810428I15Rik,[0.17074606 0.27676256 4.93157484],[0.17074606 0.06741167 0.39626362],[17.81879355  5.78392509 53.10664381],1.88
2810474O19Rik,[ 2.10641465  8.83527325 38.74659813],[2.10641465 1.55269675 3.03744065],[4.38544423 2.50902943 7.12265887],7.46
2900041M22Rik,[ 0.07339306 21.47119963 41.33025619],[0.00366965        nan        nan],[1.92491602 0.92148827 4.39219673],0.14
2900060B14Rik,[9.33281639e-03 9.52069108e+00 2.35193164e+01],[0.00979946 0.00200247 0.04324578],[2.54444722        nan        nan],0.02
3110002H16Rik,[ 0.73589992 73.23459353 83.41370526],[0.73589992 0.52192682 1.0852824 ],[1.13899322 0.75322137 1.6847511 ],0.83
3110040N11Rik,[0.5426163  2.12515476 4.12686333],[0.5426163  0.22445723 1.12488384],[1.9419119  0.75219044 6.31687171],0.84
3110043O21Rik,[0.29889055 1.50962533 1.71514914],[0.01494453        nan        nan],[4.0673893       nan       nan],0.28
3110045C21Rik,[ 0.05332022 21.64846569 38.7473949 ],[0.00266601        nan        nan],[1.78984485 0.74973242 4.84743806],0.1
3110082I17Rik,[0.43408735 1.55662577 9.75784619],[0.43408735 0.3225773  0.59365441],[6.26858837 4.05389313 9.32829835],2.13
4831440E17Rik,[0.03177466 1.43821913 7.71803086],[0.03177466 0.0149368  0.06684381],[ 5.36638034  2.10570428 13.27109892],0.17
4833439L19Rik,[ 1.13719614  8.00446435 14.5416876 ],[1.13719614 0.71887636 1.77097879],[1.81669715 1.05578937 3.64993505],1.81
4930432K21Rik,[0.04602833 2.16852461 3.14255164],[2.08166817e-17            nan            nan],[1.44916577        nan        nan],0.07
4930453N24Rik,[0.34457993 1.02094347 5.48633297],[0.34457993 0.21397212 0.53141878],[5.3737872  3.00972707 9.96362408],1.38
4930486L24Rik,[ 0.19341979  9.30869161 10.47259395],[0.21276177 0.12308914 0.37384381],[1.0575319  0.53337814 1.98291432],0.21
4930515G01Rik,[5.64529411e-03 7.90842363e+00 4.26199904e+01],[0.00564529 0.00133455 0.01982132],[5.71254044        nan        nan],0.03
4930550C14Rik,[ 0.03904336  5.36926453 10.3314284 ],[0.03904336 0.00755763 0.09975963],[1.92417944        nan        nan],0.07
4930558J18Rik,[0.23665339 6.26211812 7.93424429],[0.23665339 0.0513896  0.44246828],[1.26702246        nan        nan],0.29
4930579K19Rik,[1.37109132e-02 1.11214740e+01 4.30780109e+01],[0.00068555        nan        nan],[3.98961066        nan        nan],0.05
4931414P19Rik,[ 0.28048161 22.96651654 25.17154758],[5.55111512e-17            nan            nan],[4.35116243        nan        nan],0.3
4931440P22Rik,[ 0.03471892 15.53141349 24.00173818],[1.38777878e-17            nan            nan],[1.54536728 0.48215448 5.73764577],0.05
4932438A13Rik,[0.19878123 0.51175211 2.16152797],[0.00993906        nan        nan],[4.22377928        nan        nan],0.6
4933426M11Rik,[0.28084345 3.02554084 4.02744571],[0.28084345 0.07276116 0.61104488],[1.33114902        nan        nan],0.34
4933427D14Rik,[ 0.16105103  7.85904241 16.05792258],[0.16910358 0.090189   0.26585856],[2.04324162 1.1225531  4.08955482],0.32
5031439G07Rik,[0.40480389 0.72689677 1.35077213],[0.02024019        nan        nan],[1.8582723       nan       nan],0.48
5330417C22Rik,[5.62382484e-03 7.68917117e+00 4.17412495e+01],[0.00534263 0.00129401 0.01953846],[5.5914332       nan       nan],0.03
5430405H02Rik,[0.10841899 0.40927105 1.67988187],[5.55111512e-17            nan            nan],[4.10457049        nan        nan],0.35
5430416N02Rik,[0.60852258 3.55881893 8.4236241 ],[0.60852258 0.36755262 1.01456984],[2.36697181 1.21698099 4.78380362],1.23
5530601H04Rik,[0.07338886 0.12235805 1.96036057],[5.55111512e-17            nan            nan],[16.02150929         nan         nan],0.73
5730455P16Rik,[0.13991502 0.33841269 4.69163166],[0.13991502 0.07628288 0.22316068],[13.86363976  7.85661558 27.98022848],1.37
5730508B09Rik,[0.0870694  3.07398301 6.24901148],[0.00435347        nan        nan],[2.03287119        nan        nan],0.17
5830415F09Rik,[0.21160017 2.50748164 4.98081055],[0.21160017 0.09300267 0.39949099],[1.98637966 0.92725976 5.2017984 ],0.39
5830418K08Rik,[ 0.89503821 23.62153252 55.2960337 ],[0.89503821 0.61017814 1.18997804],[2.34091644 1.661348   4.11186023],2.02
6330408A02Rik,[ 0.12833156 20.25625736 34.41732884],[0.00641658        nan        nan],[4.75746921        nan        nan],0.22
6330416G13Rik,[0.12081441 3.36454634 5.02248929],[0.00604072        nan        nan],[1.49276865        nan        nan],0.17
9030624J02Rik,[ 1.33100782  6.28162558 10.95087455],[1.33100782 0.8129986  2.24743188],[1.74331857 0.8584141  3.73940543],1.91
9130401M01Rik,[0.39265344 0.91223527 7.66107417],[0.39265344 0.27447018 0.55372365],[ 8.39813416  5.22458965 13.59843379],2.31
9430008C03Rik,[0.54844359 1.60408494 4.99943676],[0.54844359 0.33260759 0.92190231],[3.11669079 1.47816832 6.16988175],1.27
9430016H08Rik,[0.49930962 0.90334727 5.90916579],[0.49930962 0.28346382 0.82487681],[ 6.54141102  3.16599015 14.37816834],2.1
9430038I01Rik,[  0.42212823  87.89094375 133.93047191],[0.44323464 0.30971596 0.51594718],[1.56954039 1.08342932 2.33777591],0.64
9430083A17Rik,[0.04603814 2.17071923 3.14533478],[0.00230191        nan        nan],[1.44898278        nan        nan],0.07
9530068E07Rik,[ 0.37846971 77.52699714 94.67766952],[0.37846971 0.25525446 0.58619842],[1.22122194 0.75304426 1.9661118 ],0.46
9530091C08Rik,[ 0.06275006 39.19531784 53.95141668],[0.06588757 0.03233531 0.14735081],[1.33518178 0.51942451 3.65381195],0.09
9630033F20Rik,[ 0.77217034  1.55124268 19.48460152],[0.77217034 0.61259055 0.9749815 ],[12.56064043  8.97409679 17.45625675],6.48
9830147E19Rik,[0.17234213 0.86120401 4.85611859],[0.17234213 0.09765531 0.28405362],[ 5.63875521  3.03181456 11.02198567],0.81
9930012K11Rik,[0.01437189 0.15205704 2.11548945],[0.00071859        nan        nan],[13.91247315         nan         nan],0.18
9930014A18Rik,[8.46608528e-03 1.10201322e+01 2.72312874e+01],[1.04083409e-17            nan            nan],[2.54518054        nan        nan],0.02
9930021J03Rik,[0.17588603 0.34904536 3.31544716],[8.32667268e-17            nan            nan],[37.70949729         nan         nan],1.11
A230046K03Rik,[0.69770721 1.46235795 8.17119757],[0.69770721 0.4627345  1.05830224],[ 5.58768635  2.99528125 10.17872608],2.64
A230073K19Rik,[1.44980504e-02 8.52533058e+00 3.40240491e+01],[1.73472348e-18            nan            nan],[4.11066412        nan        nan],0.06
A330069E16Rik,[ 0.08871294  8.20729659 51.70373883],[0.09314858 0.07294947 0.11948659],[5.73275278 3.3097904  9.83372978],0.55
A430005L14Rik,[ 0.52581763  2.80014482 20.33756211],[0.52581763 0.40731851 0.68244803],[ 7.26303937  5.02979176 10.3442192 ],3.22
A4galt,[ 0.25342414 20.28981956 38.18013967],[0.26609535 0.17356617 0.39471093],[1.82528659 1.14621288 3.03182832],0.47
A630089N07Rik,[ 0.31485558  2.50425783 11.73401179],[0.31485558 0.21710497 0.47451949],[4.68562448 2.69315006 7.64081029],1.31
A830018L16Rik,[9.10857854e-03 9.58083584e+00 2.52827652e+01],[0.00956401 0.00195655 0.04349092],[2.55972262        nan        nan],0.02
A830080D01Rik,[  4.39232737 505.19240329 690.85076473],[4.39232737 3.4288071  5.71685529],[1.3675003  1.04211695 1.76889744],5.95
A930005H10Rik,[0.11873216 2.45489048 4.89684017],[0.00593661        nan        nan],[1.99472857        nan        nan],0.23
A930013F10Rik,[0.08132917 1.37819964 4.25046669],[0.08946208 0.02509657 0.1806435 ],[ 2.71398322  1.14447648 10.47514612],0.24
AA467197,[1.15634635e-01 4.98045257e+01 2.44856028e+02],[0.11563463 0.0845683  0.16289976],[4.91634092 3.18212475 8.04137319],0.57
AA986860,[0.20139742 1.45630236 5.28422945],[0.20139742 0.09460386 0.36185443],[3.62852494 1.7440309  8.90026597],0.64
AA987161,[0.15002573 1.16116124 3.59977626],[0.15002573 0.03092615 0.31259772],[3.10015193        nan        nan],0.41
AI314180,[0.058687   0.11864256 1.35967719],[2.77555756e-17            nan            nan],[11.46028241         nan         nan],0.45
AI413582,[ 0.73504689 10.76786148 21.03807293],[0.73504689 0.47890225 1.06447763],[1.95378376 1.24736815 3.58895954],1.34
AI414108,[0.12792251 0.7019986  4.83620926],[0.12792251 0.07519484 0.20265172],[ 6.88920075  3.93392918 12.73024589],0.75
AI462493,[0.36619902 0.64782813 8.34824726],[0.36619902 0.26388121 0.50580665],[12.88651555  8.2420777  19.95822761],3.01
AI464131,[ 0.05852156  9.44240949 29.26212636],[3.46944695e-17            nan            nan],[12.30307177         nan         nan],0.18
AI597479,[ 0.84024542 66.75404253 69.68137119],[0.88225769 0.59091829 1.2822221 ],[1.04385246 0.68108663 1.55613074],0.87
AI846148,[0.29520032 1.01707033 2.52153933],[0.29520032 0.05167135 0.67637986],[2.47921825        nan        nan],0.57
AI854703,[1.74115286e-02 1.37910872e+01 3.31826225e+01],[0.00087058        nan        nan],[2.4782746       nan       nan],0.04
AU015836,[0.09036814 0.48783886 3.98312901],[0.00451841        nan        nan],[30.94476485         nan         nan],0.62
AU019823,[0.59145953 3.23134452 4.47123898],[0.59145953 0.24555657 1.2253904 ],[1.38370853 0.55064742 4.50609765],0.69
AU022252,[ 0.72471771 19.67465712 35.33949528],[0.72471771 0.46853743 2.12317751],[1.79619371 1.208595   3.3388012 ],1.26
AU040320,[0.2192828  1.24050408 3.51571535],[0.2192828  0.07877721 0.42934294],[2.8341022  1.21682829 9.32548102],0.53
AU041133,[0.01215418 0.27187962 3.75371711],[0.00060771        nan        nan],[13.8065409        nan        nan],0.16
AW209491,[ 0.5451489  74.9316995  83.59212847],[0.5451489  0.38759392 0.82223957],[1.11557764 0.70191854 1.65608018],0.6
AW549877,[ 1.40830889  2.78041154 18.61307406],[1.40830889 1.06260789 1.9402308 ],[ 6.69435938  3.9277983  10.36857631],6.26
AW551984,[ 0.03523161 15.13640638 22.69104542],[1.38777878e-17            nan            nan],[5.95144237        nan        nan],0.05
AW554918,[ 0.18080865 32.25885712 46.38067204],[0.18080865 0.11339385 0.29923653],[1.43776551 0.80546822 2.57962217],0.26
Aamp,[ 2.09634132  2.66609207 25.24859761],[2.09634132 1.5393354  2.9284875 ],[ 9.47026471  5.37667729 15.72946301],11.11
Aard,[0.1672588  0.47987161 2.2951798 ],[0.00836294        nan        nan],[4.78290394        nan        nan],0.59
Aars,[ 1.79102929  5.5161556  33.69812578],[1.79102929 1.36397035 2.44932915],[6.10898753 3.62966009 9.36849371],8.26
Aars2,[ 0.95207946 43.57929756 56.73123333],[0.99968344 0.60761159 1.33652026],[1.3017932  0.88936504 2.49906686],1.21
Aarsd1,[0.46708166 0.35713827 6.59207416],[0.46708166 0.30996024 0.67475068],[18.45804496 11.0166237  32.6622694 ],3.74
Aasdhppt,[ 0.80092562  2.20155892 10.29005965],[0.80092562 0.55520655 1.1858214 ],[4.67398786 2.5670878  8.01101157],2.74
Aatf,[ 0.85602946  3.37533581 11.30171548],[0.85602946 0.60663752 1.31012838],[3.34832328 1.73485532 5.50485909],2.29
Abca2,[0.04170777 1.60178081 5.14921606],[2.77555756e-17            nan            nan],[3.21468207        nan        nan],0.13
Abca3,[ 0.0554965  21.3502991  38.83426168],[0.00277482        nan        nan],[1.81890949 0.75991888 4.89928013],0.1
Abca7,[  0.54246505  99.19008141 112.730784  ],[0.54246505 0.37967856 0.80385365],[1.13651267 0.73996195 1.7197735 ],0.61
Abcb10,[  0.40270425  82.7283328  107.58986529],[0.42283946 0.29325415 0.62461875],[1.22248896 0.79298464 1.87461843],0.52
Abcb6,[0.75299848 3.59656753 3.83097924],[0.75299848 0.21005678 1.70816669],[1.06517651        nan        nan],0.66
Abcb7,[  0.89248613  75.61934045 228.27124327],[0.89248613 0.70021598 1.14476535],[3.01868863 2.28499415 4.01009216],2.66
Abcb8,[0.54686207 3.03659138 3.75680557],[0.54686207 0.17627218 1.19798694],[1.2371785       nan       nan],0.57
Abcc5,[0.60372522 0.78348567 7.53983483],[0.60372522 0.44327246 0.82875084],[ 9.62344958  6.1211331  14.83075152],3.28
Abce1,[  2.11113113 315.64270339 547.64145804],[2.21668768 1.72350419 2.84736871],[1.63090407 1.26104565 2.14999076],3.64
Abcf1,[ 3.08318355 23.82638052 69.45614355],[3.08318355 2.11367135 4.2800182 ],[2.9150942  1.87054169 5.55505358],7.96
Abcf2,[1.12760364 1.6365541  9.11644039],[1.12760364 0.7382316  1.80828051],[ 5.57050964  2.56967474 10.87735279],3.72
Abcf3,[0.27912909 0.77352538 8.95569662],[0.27912909 0.18957507 0.39617445],[11.57776701  7.26507331 19.15868242],2.37
Abcg2,[0.39628985 1.92373335 4.73385953],[0.39628985 0.21457957 0.73845084],[2.460767   1.09433635 5.41538319],0.81
Abhd11,[ 0.8968895   7.68228764 13.41811602],[0.8968895  0.56309017 1.39495447],[1.74663026 0.9813456  3.43668629],1.4
Abhd12,[0.43486869 6.5311087  7.48872743],[0.43486869 0.18064029 0.789899  ],[1.14662422 0.57705594 3.51306941],0.47
Abhd13,[ 0.16580389 15.9656866  38.58460754],[0.17409408 0.1151836  0.25303309],[2.41672084 1.41819836 4.01421922],0.4
