Extended Data Figure 3 (please see zenodo repository for additional data on this figure item),,,,,
,kon,koff,ksyn,burst_size,success
ENSMUSG00000000001.5,4.131511488873937,9.286879044765868,49.322038002960156,5.310937911995128,TRUE
ENSMUSG00000000003.16,0.001,1000.0,1.0,0.001,FALSE
ENSMUSG00000000028.16,0.27079348745159243,18.089857108465708,80.15794216090185,4.431098691398146,TRUE
ENSMUSG00000000031.17,0.11253452631840119,659.6559077019909,203.0184048958598,0.30776409719895403,FALSE
ENSMUSG00000000037.18,0.22381497119216565,9.243846159426774,5.276794638911073,0.5708440564569387,FALSE
ENSMUSG00000000049.12,0.17608627256289447,5.973429780212559,3.905682209202242,0.6538424913171511,FALSE
ENSMUSG00000000056.8,1.18697736884304,764.8112640247787,501.8830597312577,0.6562181852423625,FALSE
ENSMUSG00000000058.7,1.6048860890604457,162.87081326248924,281.3401144733707,1.7273820203743413,TRUE
ENSMUSG00000000078.8,2.4127778121731702,318.2427131824015,1620.5024291633301,5.092033099386429,TRUE
ENSMUSG00000000085.17,1.458613078425093,246.20566840443422,400.44879000810215,1.6264807898342035,TRUE
ENSMUSG00000000088.8,4.028117334157601,16.072953620592347,56.220874098487904,3.4978558033328015,TRUE
ENSMUSG00000000093.7,0.051625647635845505,47.046631143334764,7.505651756662342,0.15953643383721194,FALSE
ENSMUSG00000000094.13,0.13677875914694454,791.3089165387248,452.98753342068375,0.5724534678594331,FALSE
ENSMUSG00000000103.13,0.001,1000.0,1.0,0.001,FALSE
ENSMUSG00000000120.7,0.001220514687037333,15.31863978997393,56.92672851701865,3.7161738442519727,FALSE
ENSMUSG00000000125.6,0.0015390195526978725,15.458875140513436,45.20979449852888,2.9245203216659994,FALSE
ENSMUSG00000000126.12,0.32994397609586945,519.6439873392392,281.54571092256043,0.5418050006970617,FALSE
ENSMUSG00000000127.16,3.411144870502462,493.4701692469557,792.4094088401896,1.605789890094918,TRUE
ENSMUSG00000000131.16,3.274668430813609,33.6903427486467,35.81746019811466,1.0631373051125579,TRUE
ENSMUSG00000000134.18,3.3090637292502563,66.01619167002048,56.39957409456601,0.8543294102222259,FALSE
ENSMUSG00000000142.16,0.08588629322797028,6.929014157450019,4.197408033603253,0.6057727604857372,FALSE
ENSMUSG00000000148.18,1.6886607343960334,64.96982801662148,28.501157917541935,0.43868298235683145,FALSE
ENSMUSG00000000149.11,3.908230000644138,208.7032597063602,177.201436956682,0.8490592681973419,FALSE
ENSMUSG00000000154.17,0.33494286247741434,509.46800560963214,250.90134858095476,0.49247714442975643,FALSE
ENSMUSG00000000159.17,0.001,2.169837849342925,2.1343683999651155,0.9836534101437346,FALSE
ENSMUSG00000000167.15,0.4969958537332345,24.95208064052596,12.6681265515112,0.5076982049719831,FALSE
ENSMUSG00000000168.11,4.176314964273405,226.06452793307577,314.9336606459762,1.3931140083118625,TRUE
ENSMUSG00000000171.6,3.7747036248029566,11.957114311238536,49.96646295332753,4.178806161145743,TRUE
ENSMUSG00000000182.10,0.03250862587190191,234.51968284878114,148.1806193585781,0.6318472614263483,FALSE
ENSMUSG00000000183.7,0.001,1000.0,1.0,0.001,FALSE
ENSMUSG00000000184.13,2.8109060342678047,20.246808157022937,719.8126758133704,35.55190873696759,TRUE
ENSMUSG00000000194.14,3.6693549838249178,22.21411024149685,42.42628333180257,1.9098799308445211,TRUE
ENSMUSG00000000197.9,0.13567769647202355,762.117552279516,228.55767532571244,0.2998981910888809,FALSE
ENSMUSG00000000204.17,0.001,1000.0,1.0,0.001,FALSE
ENSMUSG00000000214.12,0.001,1000.0,1.0,0.001,FALSE
ENSMUSG00000000215.12,0.013853616554517199,974.257329158648,441.8457191251093,0.45352054934673136,FALSE
ENSMUSG00000000216.9,0.001,1000.0,1.0,0.001,FALSE
ENSMUSG00000000223.14,0.10863550816127945,11.326198054532888,6.195471694647722,0.547003651606482,FALSE
ENSMUSG00000000244.18,0.027709686511870637,460.6648698801593,250.1215807875208,0.54295779240251,FALSE
ENSMUSG00000000247.12,0.02810346725126497,18.146747795630912,9.326439565820522,0.5139455108350597,FALSE
ENSMUSG00000000248.17,0.3743333281255854,426.8535988351244,273.3449983884845,0.6403717788357366,FALSE
ENSMUSG00000000253.14,1.0766727131732776,31.282921231445908,25.16244751315249,0.8043509532562114,FALSE
ENSMUSG00000000263.16,0.09868605198287318,485.393357219132,326.64855288865766,0.6729563724564763,FALSE
ENSMUSG00000000266.12,1.5011405684284256,175.19888259207906,130.1381925927166,0.7428026404467507,FALSE
ENSMUSG00000000275.17,1.3023005275582364,315.5701897960987,395.4022978313847,1.2529773426535264,TRUE
ENSMUSG00000000276.12,1.2578159463800214,940.6098627108029,418.1435190705076,0.4445451144488677,FALSE
ENSMUSG00000000278.11,3.529142849514658,250.99400914958173,2122.788628469583,8.45752707669007,TRUE
ENSMUSG00000000282.13,1.061215086468106,910.9995498556157,812.6814511766393,0.8920766769922567,FALSE
ENSMUSG00000000290.14,0.08560950096610995,634.088792649767,272.13809050512975,0.4291797831150797,FALSE
